Empresa;Tipo;Servico;ID_Prestador;Nr_nf;Ds_Obs_Cmc;Vl_Solicitacao_Total;Solicitação;Pedido;Ds_Compra;Prioridade;Data;Data_Prev;Natureza da Solicitacao;Usuario;Situacao
1;AQUISICAO;MATERIAIS;10408;11145408.0;;591.2;573;12428.0;;NORMAL;21/09/2022;23/09/2022;COMPRA;1850;APROVADA
1;;;;448308.0;;4607.47;576;12460.0;;ALTA;21/09/2022;26/09/2022;;1850;APROVADA
1;;;;95244.0;;1050.0;581;12490.0;;ALTA;21/09/2022;27/09/2022;;1851;APROVADA
1;;;;864503.0;;8312.53;582;12455.0;;ALTA;22/09/2022;28/09/2022;;1853;APROVADA
1;;;;268668.0;;469.0;592;12452.0;;ALTA;22/09/2022;26/09/2022;;1850;APROVADA
1;;;;523295.0;;586.0;593;12476.0;;ALTA;22/09/2022;30/09/2022;;1850;APROVADA
1;;;;5699199.0;;4189.19;603;12804.0;;;27/09/2022;21/10/2022;;1853;APROVADA
1;;;;130135.0;;20512.52;604;12589.0;;ALTA;27/09/2022;05/10/2022;;1851;APROVADA
1;;;;9901.0;;544.6;605;12542.0;;ALTA;27/09/2022;30/09/2022;;1851;APROVADA
1;;;;269895.0;;987.0;606;12521.0;;NORMAL;28/09/2022;30/09/2022;;1850;APROVADA
1;;;;3344.0;;1764.67;607;12719.0;;;28/09/2022;17/10/2022;;1852;APROVADA
1;;;;449250.0;;1427.5;613;12531.0;;ALTA;29/09/2022;29/09/2022;;1850;APROVADA
1;;;;;ATENCAO PROVIDENCIAR 3 ORCAMENTOS;1362.04;615;;;NORMAL;30/09/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;595167.0;;212.24;626;12710.0;;NORMAL;05/10/2022;17/10/2022;;1852;APROVADA
19;;;;14548.0;ATENCAO COMPRAR SEGUINDO O LINK;2697.63;629;12750.0;;ALTA;05/10/2022;18/10/2022;;1850;ATENDIDA
13;;;;;FAVOR SEGUIR OS LINKS ENVIADO POR EMAIL;4464.44;630;;;NORMAL;06/10/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;40123.0;;5678.25;633;12763.0;;NORMAL;06/10/2022;19/10/2022;;1852;APROVADA
1;;;;451448.0;;1446.45;634;12642.0;;ALTA;06/10/2022;11/10/2022;;1850;APROVADA
1;;;;4597386.0;SOLICITAMOS UMA ATENCAO A COMPRA DOS SACOS DE 100L. UM E REFORCADO E OUTRO NAO / O MODELO CORRETO DO MOP PO E O QUE TEM UM LADO MEIO ABERTO COM FITA / DUVIDA NA COMPRA DE QUALQUER PRODUTO FAVOR FALAR COMIGO;23546.95;635;12732.0;;ALTA;06/10/2022;21/10/2022;;1851;APROVADA
1;;;;;;76.5;638;;;ALTA;07/10/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;12653.0;;294.0;642;12727.0;;NORMAL;10/10/2022;20/10/2022;;1852;APROVADA
1;;;;1448641.0;;1496.0;649;12713.0;;ALTA;13/10/2022;17/10/2022;;1850;APROVADA
1;;;;452488.0;;1482.5;652;12705.0;;ALTA;13/10/2022;14/10/2022;;1850;APROVADA
1;;;;142499.0;;2300.74;653;12712.0;;ALTA;13/10/2022;19/10/2022;;1852;APROVADA
1;;;;42242.0;;356.0;654;12720.0;;NORMAL;14/10/2022;14/10/2022;;1852;APROVADA
25;;;;;;414.53;656;;;NORMAL;14/10/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;142467.0;;3378.51;657;12747.0;;MEDIA;14/10/2022;20/10/2022;;1850;APROVADA
1;;;;1755.0;;2600.0;658;12752.0;;ALTA;14/10/2022;24/10/2022;;1850;APROVADA
19;;;;413196.0;;478.0;659;12779.0;;ALTA;14/10/2022;20/10/2022;;1850;APROVADA
11;;;;;;805.5;662;;;ALTA;17/10/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;50131.0;;190.0;664;12796.0;;ALTA;18/10/2022;24/10/2022;;1852;APROVADA
1;;;;;;906.43;666;12778.0;;ALTA;18/10/2022;20/10/2022;;1850;APROVADA
25;;;;15465.0;MATERIAL JA SE ENCONTRA NA LOJA;343.76;667;12786.0;;NORMAL;18/10/2022;19/10/2022;;1850;APROVADA
1;;;;45265.0;;179.8;668;12800.0;;MEDIA;18/10/2022;20/10/2022;;1852;APROVADA
1;;;;42520.0;;3369.5;673;12811.0;;NORMAL;20/10/2022;21/10/2022;;1852;APROVADA
1;;;;1448792.0;MATERIAL COMPRADO NF 1448792;127.6;679;12812.0;;ALTA;21/10/2022;21/10/2022;;1850;APROVADA
607;;;;;;1249.0;684;;;;24/10/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;455974.0;COMPRAR NA COR BRANCA;49.5;685;12896.0;;ALTA;24/10/2022;29/10/2022;;1850;APROVADA
1;;;;455974.0;;1334.42;686;12896.0;;ALTA;24/10/2022;29/10/2022;;1852;APROVADA
10;;;;;VIDRO JA SE ENCONTRA EM PRODUCAO;854.0;687;;;ALTA;24/10/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;429396.0;;1130.0;688;12891.0;;ALTA;24/10/2022;28/10/2022;NAO TEM PEDIDO;1851;APROVADA
13;;;;;PRODUTO JA SOLICITADO COM MAO DE OBRA;549.01;690;;;NORMAL;24/10/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;872077.0;;9836.69;692;12862.0;;ALTA;26/10/2022;26/10/2022;;1852;APROVADA
1;;;;1760.0;COMPRADO NF 1760;894.0;693;12861.0;;NORMAL;26/10/2022;26/10/2022;;1850;APROVADA
1;;;;5371.0;;1407.32;694;12863.0;;ALTA;26/10/2022;26/10/2022;;1853;APROVADA
1;;;;6371.0;;258.0;696;13048.0;;NORMAL;26/10/2022;09/11/2022;;1850;APROVADA
1;;;;7898.0;;2080.0;702;12879.0;;NORMAL;27/10/2022;27/10/2022;;1850;APROVADA
605;;;;;;1980.56;705;;;NORMAL;27/10/2022;;NAO TEM PEDIDO;1850;APROVADA
607;;;;;;727.27;708;;;NORMAL;27/10/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;42671.0;;690.0;709;12897.0;;NORMAL;28/10/2022;28/10/2022;;1852;APROVADA
1;;;;431151.0;;10755.6;710;13044.0;;ALTA;28/10/2022;09/11/2022;;1851;APROVADA
1;;;;1759.0;;15736.0;711;12948.0;;ALTA;28/10/2022;18/11/2022;;1852;APROVADA
1;;;;41257.0;;175.1;715;12920.0;;ALTA;31/10/2022;01/11/2022;;1852;APROVADA
23;;;;;;1105.0;725;;;NORMAL;01/11/2022;;NAO TEM PEDIDO;1850;APROVADA
13;;;;14827.0;;2697.63;726;13104.0;;ALTA;01/11/2022;14/11/2022;;1850;APROVADA
11;;;;14826.0;MODELO VAP 20S SEM TABUA;2697.63;727;13094.0;;NORMAL;01/11/2022;14/11/2022;;1850;APROVADA
1;;;;4652339.0;;17627.76;730;13239.0;;ALTA;03/11/2022;28/11/2022;;1851;APROVADA
1;;;;1776.0;;3620.0;732;13040.0;;MEDIA;03/11/2022;09/11/2022;;1850;APROVADA
1;;;;104.0;;3094.16;736;12977.0;;ALTA;04/11/2022;07/11/2022;;1852;APROVADA
1;;;;458349.0;;4665.84;751;13027.0;;ALTA;07/11/2022;11/11/2022;;1852;APROVADA
1;;;;5681.0;;2430.0;756;13168.0;;NORMAL;08/11/2022;17/11/2022;;1850;APROVADA
1;;;;63622.0;;1541.14;757;13146.0;;ALTA;08/11/2022;21/11/2022;;1850;APROVADA
2;;;;127.0;LINKS POR EMAIL;653.9;759;13153.0;;ALTA;08/11/2022;18/11/2022;;1850;APROVADA
1;;;;1460127.0;EMAIL;2457.25;763;13039.0;;ALTA;08/11/2022;11/11/2022;;1850;APROVADA
18;;;;;NF 328 MATERIAL JA INSTALADO;206.4;764;;;NORMAL;09/11/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;110976.0;;3932.78;765;13150.0;;ALTA;09/11/2022;21/11/2022;;1852;APROVADA
1;;;;286.0;;2940.0;766;13045.0;;NORMAL;09/11/2022;09/11/2022;;1850;APROVADA
14;;;;285.0;;980.0;768;13047.0;;NORMAL;09/11/2022;09/11/2022;;1850;APROVADA
1;;;;1458980.0;NF 001458980 - MATERIAL JA RECEBIDO;300.56;769;13113.0;;NORMAL;09/11/2022;14/11/2022;;1852;APROVADA
1;;;;56813.0;NF 000.056.813 - PRODUTO RETIRADO NA LOJA E JA ENTREGUE.;794.0;770;13058.0;;NORMAL;09/11/2022;10/11/2022;;1852;APROVADA
1;;;;459359.0;;5399.6;771;13145.0;;ALTA;09/11/2022;17/11/2022;;1852;APROVADA
1;;;;;;394.0;773;13243.0;;NORMAL;10/11/2022;25/11/2022;;1850;APROVADA
1;;;;507.0;;8204.0;774;13258.0;;ALTA;10/11/2022;13/12/2022;;1852;APROVADA
1;;;;42867.0;;301.0;775;13070.0;;NORMAL;10/11/2022;10/11/2022;;1852;APROVADA
22;;;;37431.0;;1185.0;786;13140.0;;MEDIA;16/11/2022;16/11/2022;;1850;APROVADA
18;;;;1466220.0;ATENCAO COMPRAR SEGUINDO O MODELO ENVIADO POR EMAIL EXTREMA URGENCIA;351.86;787;13209.0;;ALTA;16/11/2022;23/11/2022;;1850;APROVADA
10;;;;15757.0;FAVOR SEGUIR MODELOS ENVIADO POR EMAIL O PURIFICADOR EU ESTOU DANDO ANDAMENTO;2486.48;788;13202.0;;ALTA;16/11/2022;22/11/2022;;1850;APROVADA
8;;;;441823.0;LINK ENVIADO POR EMAIL;219.9;791;13186.0;;NORMAL;17/11/2022;21/11/2022;;1850;APROVADA
1;;;;276872.0;LINK COM O MODELO POR EMAIL;1758.97;792;13461.0;;ALTA;17/11/2022;26/12/2022;;1850;APROVADA
1;;;;35272.0;;8894.4;793;13169.0;;NORMAL;17/11/2022;17/11/2022;;1850;APROVADA
8;;;;510.0;;58.0;794;13717.0;;MEDIA;17/11/2022;17/01/2023;;1850;APROVADA
1;;;;878484.0;;1806.15;795;13187.0;;MEDIA;17/11/2022;21/11/2022;;1850;APROVADA
1;;;;1779.0;;460.0;796;13178.0;;MEDIA;18/11/2022;18/11/2022;;1850;APROVADA
1;;;;225191.0;EXTREMA URGENCIA AR CONDICIONADO DESLIGADO;2830.24;801;13266.0;;ALTA;21/11/2022;30/11/2022;;1850;APROVADA
607;;;;;FAVOR SEGUIR MODELO ENVIADO NO EMAIL;778.9;802;;;ALTA;21/11/2022;;NAO TEM PEDIDO;1850;APROVADA
5;;;;24533.0;NF 24388 MATERIAL JA ADQUIRIDO;3732.25;805;13215.0;;NORMAL;21/11/2022;22/11/2022;;1850;APROVADA
1;;;;3113.0;NF 3113 AGUA RECEBIDA;1600.0;806;13217.0;;NORMAL;21/11/2022;22/11/2022;;1850;APROVADA
1;;;;191961.0;;2563.48;809;13382.0;;MEDIA;22/11/2022;12/12/2022;;1850;APROVADA
1;;;;;;6907.78;814;;;MEDIA;23/11/2022;;NAO TEM PEDIDO;1850;APROVADA
402;;;;;NF687 MATERIAL JA FOI RECEBIDO E INSTALADO;3153.0;815;;;MEDIA;23/11/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;316.0;MODELO ENVIADO POR EMAIL;431.4;816;13343.0;;ALTA;24/11/2022;07/12/2022;;1850;APROVADA
1;;;;43104.0;NF43104 MATERIAL JA FOI ENTREGUE NA OBRA;849.0;818;13257.0;;MEDIA;24/11/2022;29/11/2022;;1850;APROVADA
1;;;;3183.0;DANFE NF 3183 MATERIAL AGUARDANDO A ENTREGA;26244.1;819;13256.0;;MEDIA;24/11/2022;29/11/2022;;1850;APROVADA
1;;;;5417.0;DANFE NF 5417 MATERIAL JA FOI ENTREGUE NA OBRA DO GALPAO;2190.53;820;13254.0;;NORMAL;25/11/2022;29/11/2022;;1850;APROVADA
1;;;;884736.0;DANFE NF 5418 O MATERIAL JA FOI ENTREGUE;2325.08;821;13350.0;;NORMAL;25/11/2022;12/12/2022;;1850;APROVADA
10;;;;15810.0; DANFE NF 15810 O MATERIAL JA FOI ENTREGUE NA LOJA;100.0;823;13253.0;;NORMAL;25/11/2022;29/11/2022;;1850;APROVADA
13;;;;289.0;NF 289 MATERIAL JA FOI ENTREGUE NA LOJA;5160.0;825;13277.0;;NORMAL;30/11/2022;30/11/2022;;1850;APROVADA
1;;;;43291.0;;4068.15;828;13357.0;;ALTA;30/11/2022;08/12/2022;;1852;APROVADA
1;;;;65467.0;;6503.55;829;13361.0;;ALTA;30/11/2022;08/12/2022;;1851;APROVADA
1;;;;1588396.0;SEGUE ESPECIFICACOES POR EMAIL;3813.55;831;14453.0;;ALTA;30/11/2022;29/03/2023;;1850;APROVADA
1;;;;36421.0;;94.98;834;13392.0;;MEDIA;30/11/2022;13/12/2022;;1850;APROVADA
1;;;;719787.0;SOLICITAR APENAS O ORCAMENTO PARA MANDARMOS PARA  A  APROVACAO;1192.0;835;13367.0;;ALTA;30/11/2022;12/12/2022;;1850;APROVADA
1;;;;211.0;;61.6;839;13395.0;;ALTA;02/12/2022;13/12/2022;;1850;APROVADA
29;;;;364904.0;;7539.1;841;13561.0;;ALTA;02/12/2022;02/01/2023;;1852;APROVADA
28;;;;;;21032.46;844;;;ALTA;02/12/2022;;NAO TEM PEDIDO;1852;APROVADA
1;;;;257522.0;;184.02;846;13499.0;;ALTA;06/12/2022;20/12/2022;;1850;APROVADA
18;;;;1474371.0;FAVOR SEGUIR O MEDELO ENVIADO POR EMAIL;1197.7;847;13349.0;;ALTA;06/12/2022;08/12/2022;;1850;APROVADA
1;;;;265003.0;;8971.66;848;13364.0;;ALTA;06/12/2022;13/12/2022;;1851;APROVADA
1;;;;4677361.0;;9925.81;849;13376.0;;ALTA;06/12/2022;16/12/2022;;1851;APROVADA
28;;;;885519.0;;2812.8;850;13393.0;;ALTA;06/12/2022;13/12/2022;;1852;APROVADA
1;;;;127184.0;NF127184 O MATERIAL JA FOI ENTREGUE NA OBRA DA CIDADE MATARAZZO;6215.23;856;13370.0;;NORMAL;08/12/2022;12/12/2022;;1850;APROVADA
13;;;;34062.0;MODELO ENVIADO POR EMAIL;515.19;861;13536.0;;MEDIA;08/12/2022;21/12/2022;;1850;APROVADA
605;;;;;LINK COM O MODELO ENVIADO POR EMAIL;315.0;862;;;ALTA;08/12/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;3149.0;NF 3149 JA ENTREGUE EM NOSSA FABRICA;1100.0;863;13454.0;;NORMAL;12/12/2022;15/12/2022;;1850;APROVADA
28;;;;887801.0;;231.98;864;13463.0;;ALTA;12/12/2022;20/12/2022;;1852;APROVADA
28;;;;1481259.0;;5557.72;865;13465.0;;ALTA;12/12/2022;19/12/2022;;1852;APROVADA
28;;;;1481693.0;;5370.18;866;13466.0;;ALTA;13/12/2022;19/12/2022;;1852;APROVADA
28;;;;466295.0;;2410.12;869;13447.0;;ALTA;13/12/2022;16/12/2022;;1852;APROVADA
28;;;;1098653.0;;8869.83;873;13542.0;;ALTA;13/12/2022;27/12/2022;;1852;APROVADA
28;;;;;;9647.94;874;13542.0;;ALTA;13/12/2022;27/12/2022;;1852;APROVADA
8;;;;413.0;DANFE NF 413 O MATERIAL JA FOI ENTREGUE;960.0;879;13438.0;;MEDIA;14/12/2022;15/12/2022;;1850;APROVADA
402;;;;696.0;DANFE NF 696 O MATERIAL JA FOI ENTREGUE;275.4;881;13446.0;;MEDIA;15/12/2022;15/12/2022;;1850;APROVADA
1;;;;50654.0;DANFE NF 50654 O MATERIAL JA FOI ENTREGUE;5849.6;882;13449.0;;MEDIA;15/12/2022;15/12/2022;;1850;APROVADA
1;;;;39558.0;DANFE NF 39558 O MATERIAL JA FOI ENTREGUE;4200.0;884;13450.0;;MEDIA;15/12/2022;15/12/2022;;1850;APROVADA
1;;;;4336.0;;8929.92;886;13538.0;;ALTA;16/12/2022;28/12/2022;;1853;APROVADA
9;;;;1605.0;NF 1605 MATERIAL JA SE ENCONTRA EM NOSSA LOJA;744.0;888;13482.0;;NORMAL;19/12/2022;19/12/2022;;1850;APROVADA
605;;;;;FAVOR PROVIDENCIAR A COMPRA DO MODELO PADRAO;315.0;890;;;ALTA;19/12/2022;;NAO TEM PEDIDO;1850;APROVADA
9;;;;;NF 508 MATERIAL JA INSTALADO EM NOSSA LOJA;3350.1;891;;;NORMAL;19/12/2022;;NAO TEM PEDIDO;1850;APROVADA
1;;;;4564.0;DANFE NF 4564 O MATERIAL JA FOI ENTREGUE;222.67;894;13532.0;;NORMAL;20/12/2022;21/12/2022;;1850;APROVADA
13;;;;277644.0;MODELO ENVIADO POR EMAIL;100.9;895;13584.0;;MEDIA;21/12/2022;02/01/2023;;1850;APROVADA
18;;;;1487918.0;DATALES DO MODELO ENVIADO NO EMAIL;499.0;896;13546.0;;ALTA;21/12/2022;26/12/2022;;1850;APROVADA
28;;;;5467.0;DANFE NF 5467 O MATERIAL JA FOI ENTREGUE;3428.93;900;13565.0;;NORMAL;21/12/2022;27/12/2022;;1850;APROVADA
28;;;;467746.0;;1274.0;901;13545.0;;ALTA;21/12/2022;23/12/2022;;1852;APROVADA
1;;;;434594.0;MODELO ENVIADO NO EMAIL;520.0;902;13562.0;;NORMAL;26/12/2022;28/12/2022;;1850;APROVADA
1;;;;227529.0;EFETUAR A COMPRA DE 3 BOTIJAS DE 11KG ENVIADO POR EMAIL;1937.43;903;13556.0;;MEDIA;26/12/2022;29/12/2022;;1850;APROVADA
1;;;;816.0;DANFE NF 816 O MATERIAL JA FOI ENTREGUE;159.5;904;13549.0;;NORMAL;26/12/2022;26/12/2022;;1850;APROVADA
1;;;;442220.0;;2897.05;905;13578.0;;ALTA;26/12/2022;28/12/2022;;1851;APROVADA
8;;;;2073535.0;MODELO APROVADO PELO GERENTE ENVIADO NO EMAIL;829.86;906;13598.0;;MEDIA;25/12/2022;03/01/2023;;1850;APROVADA
1;;;;265791.0;;2473.53;907;13570.0;;MEDIA;26/12/2022;02/01/2023;;1851;APROVADA
9;;;;2073602.0;MODELO APROVADO PELO GERNTE ENVIADO POR EMAIL;829.86;908;13595.0;;MEDIA;24/12/2022;03/01/2023;;1850;APROVADA
28;;;;;;2863.5;909;;;ALTA;26/12/2022;;NAO TEM PEDIDO;1852;APROVADA
23;;;;724075.0;OBSERVACOES ENVIADO POR EMAIL;315.0;910;13596.0;;ALTA;27/12/2022;03/01/2023;;1850;APROVADA
1;;;;15677.0;;111.35;911;13591.0;;ALTA;27/12/2022;03/01/2023;;1853;APROVADA
1;;;;62187.0;;52.42;913;13594.0;;ALTA;28/12/2022;03/01/2023;;1853;APROVADA
1;;;;1487260.0;;371.0;918;13613.0;;NORMAL;04/01/2023;05/01/2023;;1852;APROVADA
28;;;;26773.0;;3536.0;919;13630.0;;ALTA;04/01/2023;10/01/2023;;1852;APROVADA
28;;;;273942.0;;1616.64;920;13631.0;;ALTA;04/01/2023;11/01/2023;;1852;APROVADA
1;;;;225464.0;;819.63;921;13762.0;;MEDIA;05/01/2023;19/01/2023;;1853;APROVADA
1;;;;;DANFE NF 69857 OS MATERIAIS JA FORAM ENTREGUES NA CIDADE MATARAZZO;38547.54;922;;;NORMAL;05/01/2023;;NAO TEM PEDIDO;1853;APROVADA
28;;;;471355.0;;1668.03;927;13683.0;;ALTA;09/01/2023;13/01/2023;;1852;APROVADA
9;;;;1778.0;MATERIAL JA SUBSTITUIDO SEGUE NUMERO DE NF 1778;109.0;930;13662.0;;NORMAL;10/01/2023;10/01/2023;;1850;APROVADA
1;;;;;NF 127796  O MATERIAL JA FOI ENTREGUE NA CIDADE MATARAZZO;1764.0;931;13758.0;;NORMAL;10/01/2023;19/01/2023;;1853;APROVADA
1;;;;;NF 127989 O MATERIAL JA FOI ENTREGUE NA CIDADE MATARAZZO;1764.0;932;13759.0;;NORMAL;10/01/2023;19/01/2023;;1853;APROVADA
1;;;;;NF 128166;1764.0;933;13760.0;;NORMAL;10/01/2023;19/01/2023;;1853;APROVADA
25;;;;1443.0;MATERIAL JA COMPRADO E SUBSTITUIDO NF 1443;109.0;936;13666.0;;NORMAL;10/01/2023;11/01/2023;;1850;APROVADA
1;;;;1797.0;ESPECIFICACOES ENVIADO POR EMAIL;460.0;940;13685.0;;NORMAL;11/01/2023;20/01/2023;;1850;APROVADA
22;;;;110.0;MATERIAL JA SUBSTITUIDO EM LOJA NF110;200.0;941;13675.0;;NORMAL;11/01/2023;11/01/2023;;1850;APROVADA
28;;;;5491.0;;1353.82;949;13697.0;;NORMAL;09/01/2023;16/01/2023;;1852;APROVADA
1;;;;224743.0;;1216.6;951;13693.0;;ALTA;12/01/2023;16/01/2023;;1853;APROVADA
28;;;;472807.0;;2096.34;952;13745.0;;ALTA;12/01/2023;19/01/2023;;1852;APROVADA
1;;;;1118.0;DANFE NF 1118 O MATERIAL JA FOI ENTREGUE;350.0;954;13690.0;;NORMAL;13/01/2023;16/01/2023;;1853;APROVADA
1;;;;;;1343.4;957;;;ALTA;13/01/2023;;NAO TEM PEDIDO;1853;APROVADA
9;;;;1070.0;FAVOR SEGUIR A COMPRA DO MODELO ENVIADO POR EMAIL;1234.8;958;14070.0;;NORMAL;16/01/2023;15/02/2023;;1850;APROVADA
1;;;;;DANFE NF 128883 O MATERIAL JA FOI ENTREGUE;4008.42;966;;;NORMAL;17/01/2023;;NAO TEM PEDIDO;1853;APROVADA
1;;;;215468.0;;5361.86;968;13763.0;;ALTA;17/01/2023;19/01/2023;;1853;APROVADA
11;;;;;PRODUTO JA COMPRADO NF 2867 ENVIDA POR EMAIL;2148.0;974;13736.0;;NORMAL;18/01/2023;19/01/2023;;1850;APROVADA
9;;;;11260.0;MODELOS APROVADOS PELO GERENTE ENVIADO POR EMAIL;4106.11;976;13819.0;;NORMAL;19/01/2023;02/02/2023;;1850;APROVADA
8;;;;11394.0;MODELOS REQUISITADOS PELO GERENTE ENVIADO POR EMAIL;206.59;977;13898.0;;NORMAL;19/01/2023;02/02/2023;;1850;APROVADA
9;;;;;MATERIAL JA INSTALADO NF 431 ENVIADA POR EMAIL;410.0;979;13747.0;;NORMAL;19/01/2023;19/01/2023;;1850;APROVADA
25;;;;836.0;MATERIA JA INSTALADO NF 836 ENVIADO POR EMAIL;1005.5;980;13793.0;;NORMAL;19/01/2023;23/01/2023;;1850;APROVADA
25;;;;36639.0;MATERIAL JA ENTREGUE NF 36639 ENVIADA POR EMAIL;1972.0;982;13783.0;;NORMAL;20/01/2023;23/01/2023;;1850;APROVADA
13;;;;2630.0;FAVOR SEGUIR O MESMO MODELO QUE JA USAMOS EM TODAS AS NOSSAS LOJAS;823.52;984;13801.0;;NORMAL;20/01/2023;13/02/2023;;1850;APROVADA
1;;;;1803.0;NF 1803 O MATERIAL JA FOI ENTREGUE;920.0;985;13797.0;;NORMAL;20/01/2023;24/01/2023;;1853;APROVADA
1;;;;4037.0;MODELOS ENVIADO POR EMAIL;600.0;986;13885.0;;NORMAL;23/01/2023;31/01/2023;;1850;APROVADA
1;;;;127652.0;MODELO ENVIADO POR EMAIL;259.98;988;13876.0;;NORMAL;23/01/2023;31/01/2023;;1850;APROVADA
5;;;;324021.0;MODELO ENVIADO POR EMAIL;1410.0;989;13942.0;;NORMAL;24/01/2023;07/02/2023;;1850;APROVADA
19;;;;14837.0;MODELO ENVIADO POR EMAIL;401.28;990;14067.0;;ALTA;24/01/2023;15/02/2023;;1850;APROVADA
11;;;;2087404.0;MODELO E METRAGEM ENVIADO POR EMAIL;208.05;991;13948.0;;NORMAL;24/01/2023;07/02/2023;;1850;APROVADA
9;;;;900.0;MODELO ENVIADO POR EMAIL;330.0;992;13886.0;;NORMAL;24/01/2023;31/01/2023;;1850;APROVADA
1;;;;5357.0;;136.0;994;13903.0;;MEDIA;24/01/2023;02/02/2023;;1853;APROVADA
1;;;;100265.0;;61.59;995;13846.0;;ALTA;24/01/2023;30/01/2023;;1853;APROVADA
22;;;;;ENVIADO POR EMAIL;257.35;1000;;;NORMAL;26/01/2023;;NAO TEM PEDIDO;1850;APROVADA
1;AQUISICAO;MATERIAIS;10408;11671887.0;ENVIADO POR EMAIL;506.7;1001;13901.0;;NORMAL;26/01/2023;02/02/2023;;1850;APROVADA
28;;;;476082.0;;1954.97;1003;13953.0;;ALTA;20/01/2023;07/02/2023;;1852;APROVADA
25;;;;2911.0;MATERIAL JA INSTALADO NF 2911 ENVIADA POR EMAIL;1600.0;1005;13860.0;;NORMAL;27/01/2023;30/01/2023;;1850;APROVADA
1;;;;;NF 44177 O MATERIAL JA FOI ENTREGUE;453.6;1006;;;NORMAL;27/01/2023;;NAO TEM PEDIDO;1853;APROVADA
1;;;;448442.0;;4017.44;1009;13981.0;;ALTA;31/01/2023;08/02/2023;;1851;APROVADA
1;;;;268066.0;;6788.4;1010;13967.0;;ALTA;31/01/2023;10/02/2023;;1851;APROVADA
402;;;;;;4328.6;1013;;;NORMAL;01/02/2023;;NAO TEM PEDIDO;1853;APROVADA
19;;;;433.0;LINK ENVIADO POR EMAIL;6.68;1014;13976.0;;NORMAL;01/02/2023;08/02/2023;;1850;APROVADA
28;;;;902400.0;;1092.81;1017;13934.0;;ALTA;02/02/2023;06/02/2023;;1852;APROVADA
1;;;;259343.0;;179.7;1019;13964.0;;ALTA;02/02/2023;08/02/2023;;1853;APROVADA
28;;;;;;10737.5;1020;;;NORMAL;03/02/2023;;NAO TEM PEDIDO;1853;APROVADA
1;;;;4592.0;NF 4592 O MATERIAL JA FOI ENTREGUE;500.52;1022;13949.0;;NORMAL;03/02/2023;07/02/2023;;1853;APROVADA
